text,label
Can you tell me List of religious tourism in Palembang please,ask_category
Cn u tell m List of religious toursm in Palembang please,ask_category
Cultural attractions in Palembang?,ask_category
cultural attractions in palembang? ya,ask_category
Min cultural attractions in palembang? sih,ask_category
Kak Info wisata kuliner Palembang dong? sih,ask_category
Maaf mau tanya Info wisata kuliner Palembang dong? sih,ask_category
Maaf mau tanya Museum di Palembang apa aja ya,ask_category
Maaf mau tanya Museum di Palembang apo aja yo,ask_category
Yang termasuk wisata religi apa aja?,ask_category
Yang termasuk wisata religi apo aja?,ask_category
Permisi yang termasuk wisata religi apa aja? ya,ask_category
Permisi yang termasuk wisata religi apo aja? yo,ask_category
Eh Religious sites in Palembang ya kak,ask_category
Eh Religious sites in Palembang yo kak,ask_category
Religious sites in Palembang ya,ask_category
Religious sites in Palembang yo,ask_category
Eh Info masjid Palembang dong? dong,ask_category
Tempat wisata sejarah di Palembang?,ask_category
Tempt wisata sjarah di Palembang?,ask_category
Kak Tempat wisata sejarah di Palembang? ya kak,ask_category
Kak Tempat wisata sejarah di Palembang? yo kak,ask_category
tempat wisata sejarah di palembang? dong,ask_category
Halo Info wisata kuliner Palembang dong dong kak,ask_category
Info wisata kuliner Palembang dong,ask_category
Where can I find museums in Palembang thanks,ask_category
Please Where can I find museums in Palembang,ask_category
Please Where can I fnd museums in Palembang,ask_category
Mau nanya dong Tempat wisata sejarah di Palembang ya kak,ask_category
Ada wisata religi di Palembang?,ask_category
Maaf mau tanya ada wisata religi di palembang? dong kak,ask_category
Maaf mau tanya ada wisata religi di palembang? dong,ask_category
Maaf mau tnya ada wsata religi di palembang? dong,ask_category
Bang Ada wisata religi di Palembang?,ask_category
Mau cari museum di Palembang,ask_category
Bang mau cari museum di palembang ya kak,ask_category
Bang mau cari museum di palembang yo kak,ask_category
Eh mau cari museum di palembang dong kak,ask_category
Min mau cari museum di palembang deh,ask_category
Destinasi wisata sejarah Palembang?,ask_category
destinasi wisata sejarah palembang? nih,ask_category
Maaf mau tanya destinasi wisata sejarah palembang? dong kak,ask_category
List of parks in Palembang?,ask_category
Min religious tourism places in Palembang? nih,ask_category
religious tourism places in Palembang?,ask_category
Bang Wisata wisata budaya di Palembang apa aja sih,ask_category
Halo cultural tourism places in Palembang nih,ask_category
Halo cultural tourism places in Palmbng nih,ask_category
Min cultural tourism places in Palembang nih,ask_category
Mau cari wisata sejarah di Palembang ya,ask_category
Mau nanya dong mau cari wisata sejarah di palembang nih,ask_category
Halo Mau cari wisata sejarah di Palembang nih,ask_category
Eh mau cari wisata sejarah di palembang dong kak,ask_category
Mau cari wisata sejarah di Palembang,ask_category
Wisata edukasi di Palembang?,ask_category
Wsata edukasi di Palembang?,ask_category
Eh wisata edukasi di palembang? dong,ask_category
wisata edukasi di palembang? sih,ask_category
What cultural tourism are in Palembang?,ask_category
What cultural tourism r in Palembang?,ask_category
what cultural tourism are in palembang?,ask_category
what cultural tourism r in palembang?,ask_category
Kak palembang punya taman apa? dong kak,ask_category
Palembang punya taman apa?,ask_category
Palembang punya taman apo?,ask_category
Eh palembang punya taman apa? dong,ask_category
Eh palembang punya taman apo? dong,ask_category
Maaf mau tanya palembang punya taman apa? deh,ask_category
Maaf m tanya plmbang punya taman apa? deh,ask_category
Maaf mau tanya Rekomendasi wisata sejarah Palembang? sih,ask_category
Maaf mau tanya Yang termasuk masjid apa aja?,ask_category
Maf mau tanya Yng termasuk masjid apa aja?,ask_category
Bang Yang termasuk masjid apa aja? deh,ask_category
Bang Yang termasuk masjid apo aja? deh,ask_category
Yang termasuk masjid apa aja?,ask_category
Tempat museum di Palembang? dong,ask_category
Halo tempat museum di palembang? sih,ask_category
Tempat museum di Palembang?,ask_category
Tmpt museum di Plembng?,ask_category
"Hi, list of museums in palembang? please",ask_category
Halo Palembang punya wisata alam apa? ya,ask_category
Palembang punya wisata alam apa?,ask_category
Palembang punya wisata alam apa? dong kak,ask_category
Plmbang punya wsta alam apa? dng kak,ask_category
Maaf mau tanya Palembang punya wisata alam apa? deh,ask_category
Maaf mau tanya Palmbang punya wista lam apo? deh,ask_category
"Hello, What parks are in Palembang thanks",ask_category
"Hello, What parks r in Palembang thanks",ask_category
Eh Masjid bersejarah di Palembang dong kak,ask_category
Halo Masjid bersejarah di Palembang ya,ask_category
Mau nanya dong palembang punya wisata religi apa?,ask_category
Mau nanya dong palembang punya wisata religi apo?,ask_category
Bang palembang punya wisata religi apa? dong kak,ask_category
Bang palembang punya wisata religi apo? dong kak,ask_category
Palembang punya wisata religi apa?,ask_category
"Excuse me, What museums are in Palembang? please",ask_category
"Excuse me, What museums r in Palembang? please",ask_category
Recommend museums in Palembang sih,ask_category
Maaf mau tanya recommend museums in palembang ya kak,ask_category
recommend museums in palembang nih,ask_category
Recommend museums in Palembang,ask_category
Palembang punya museum apa?,ask_category
Palembang punya museum apo?,ask_category
Mau nanya dong Palembang punya museum apa? nih,ask_category
Permisi palembang punya museum apa? ya kak,ask_category
Permisi palembang punya museum apo? y kak,ask_category
Halo palembang punya museum apa? dong,ask_category
Halo palembng punya msum apo? dong,ask_category
Kak religious tourism places in Palembang,ask_category
Kak religious tourism places in Palembang deh,ask_category
Kak religious tourism plcs in Palembng deh,ask_category
Mau nanya dong yang termasuk wisata kuliner apa aja? ya kak,ask_category
Mau nanya dng yang termasuk wista kuliner apa aja? yo kak,ask_category
Yang termasuk wisata kuliner apa aja?,ask_category
Yang termasuk wisata kulinr apa aj?,ask_category
where can i find parks in palembang? please,ask_category
Where can I find parks in Palembang?,ask_category
where can i find parks in palembang?,ask_category
Mau nanya dong ada wisata sejarah di palembang? sih,ask_category
Ada wisata sejarah di Palembang?,ask_category
da wsat sejarh di Palembng?,ask_category
Bang Ada wisata sejarah di Palembang? ya kak,ask_category
Bang Ada wisata sejarah di Palembang? yo kak,ask_category
Min ada wisata sejarah di palembang? ya kak,ask_category
Min ada wisata sejarah di palembang? yo kak,ask_category
"Excuse me, what cultural tourism are in palembang? please",ask_category
"Excuse me, what cultural tourism r in palembang? please",ask_category
Eh nature tourism places in Palembang nih,ask_category
ada wisata kuliner di palembang? dong kak,ask_category
Ada wisata kuliner di Palembang?,ask_category
Bang ada wisata kuliner di palembang? nih,ask_category
Rekomendasi wisata kuliner Palembang,ask_category
Halo rekomendasi wisata kuliner palembang dong kak,ask_category
Permisi Info wisata alam Palembang dong? deh,ask_category
"Hello, List of cultural tourism in Palembang??",ask_category
Bang Any museums in Palembang dong kak,ask_category
Permisi Mau cari masjid di Palembang?,ask_category
Permisi Mau car masjid di Palmbang?,ask_category
Maaf mau tanya Nature spots in Palembang,ask_category
Halo Nature spots in Palembang deh,ask_category
Where can I find historical sites in Palembang??,ask_category
Halo Yang termasuk wisata sejarah apa aja sih,ask_category
Hal Yang termasuk wisata sejrh po ja sih,ask_category
"Hi, Where can I find culinary tourism in Palembang? please",ask_category
kak ada wisata alam gak di palembang? dong,ask_category
kk ada wsat alam gak di palembang? dong,ask_category
Kak ada wisata alam gak di Palembang?,ask_category
Min kak ada wisata alam gak di palembang? deh,ask_category
"Hello, list of cultural tourism in palembang?",ask_category
"Hllo, list of cultral tourism in palembang?",ask_category
Mau ke tempat bersejarah di Palembang? deh,ask_category
Mau ke tempat brsjarah di Plembang? dh,ask_category
